Name,Acronym,Billing Street,Billing City,Billing Zip Code,Shipping Street,Shipping City,Shipping Zip Code,BEDS,ORISS Institution ID,NIPSIS,DOE Name
Bnos Chaya III ,,4502 14th Ave,Brooklyn,11219,4511 14th Avenue,Brooklyn,11219,332000226543,800000092313,20025,CONGREGATION BNOS CHAYA II
Bnos Chaya- Brooklyn 2 ,,4511 14th Ave,Brooklyn,11219,4622 14th Ave,Brooklyn,11219,332000226817,800000093862,,
Bnos Chayil ,,345 Hewes St,Brooklyn,11211,345 Hewes St,Brooklyn,,331400229323,800000045229,14963,BNOS CHAYIL
Bnos Chayil ,,345 Hewes St,Brooklyn,11211,382 Willoughby Ave,Brooklyn,11205,331300226646,800000092721,,
Bnos Chomesh Academy ,,588 Brooklyn Ave,Brooklyn,11203,540 E New York Ave,Brooklyn,,331700225979,800000060466,17029,BNOS CHOMESH
Bnos Derech Yisroel ,,P.O. Box 432,Monsey,10956,900 Route 45,Monsey,10952,500402226163,800000083784,,BNOS DERECH YISROEL OF MONSEY
Bnos Esther Malka ,,1784 E 17th St,Brooklyn,11229,1784 E 17th St,Brooklyn,,332200226263,800000088604,,BNOS ESTHER MALKA
Bnos Esther of Pupa ,,P.O. Box 978,Monsey,10952,246 N Main St,Spring Valley,,500402229565,800000038993,,BNOS ESTHER PUPA
Bnos High School ,,100 Route 59,Suffern,10901,100 Route 59,Suffern,,500401226641,800000092684,,BNOS OF MONSEY
Bnos Leah Prospect Park of Monsey ,,315 N Main St,New City,10956,315 N Main St,New City,,500101226405,800000090430,,BNOS LEAH PROSPECT PARK OF MONSEY
Bnos Malka Academy ,,7102 113th St,Queens,11375,71-02 113th St,Queens,11375,342800225513,800000043004,28709,BNOS MALKA ACADEMY
Bnos Margulia Viznitz ,,971 41st St,Brooklyn,11219,971 41st St,Brooklyn,,331500226079,800000043998,15886,BNOS MARGULIA VIZNITZ
Bnos Menachem ,,739 E New York Ave,Brooklyn,11203,739 E New York Ave,Brooklyn,,331700229779,800000044792,17790,"BNOS MENACHEM, INC"
Bnos Nitra ,,53 Walton St,Brooklyn,11206,53 Walton St,Brooklyn,,331400226396,800000090337,14003,BNOS NITRA  (TALMUD TORAH D'NITRA)
Bnos Peninim ,,1601 42nd St,Brooklyn,11204,1601 42nd St,Brooklyn,11204,332000226722,800000093352,,
Bnos Perel ,,1312 59th St,Brooklyn,11219,1312 59th St,Brooklyn,,332000226665,800000093040,20073,BNOS PEREL
Bnos Spinka Boys School ,,799 Kent Ave,Brooklyn,11205,799 Kent Ave,Brooklyn,,331400225735,800000059932,14002,BNOS SPINKA BOYS
Bnos Square of Williamsburg ,,382 Willoughby Ave,Brooklyn,11205,165 Spencer Street,Brooklyn,11205,331400229999,800000057622,13694,BNOS SQUARE OF WILLIAMSBURG
Bnos Square of Williamsburg 2 ,,P.O. Box 60659,Brooklyn,11206,80 Skillman St,Brooklyn,,331400226442,800000090752,14013,BNOS SQUARE OF WILLIAMSBURG 2
Bnos Visnitz - 15 Elyon ,,P.O. Box 446,Monsey,10952,15 Elyon Rd,Monsey,10952,500402226367,800000038981,,BNOS VISNITZ - 15 ELYON
Bnos Visnitz - 229 Maple ,,P.O. Box 446,Monsey,10952,229 Maple Ave,Monsey,10952,500402226370,800000083405,,
Bnos Visnitz - 230 Maple ,,P.O. Box 446,Monsey,10952,230 Maple Ave,Monsey,10952,500402226371,800000083406,,
Bnos Viznitz - 1 School Terrace ,,P.O. Box 446,Monsey,10952,1 School Ter,Monsey,10952,500402226369,800000038982,,BNOS VISNITZ - 1 SCHOOL TERRACE
Bnos Yaakov ,,2710 Ave X,Brooklyn,11235,2710 Ave X,Brooklyn,,332200226005,800000066494,22007,CONGREGATION BNOS YAAKOV
Bnos Yaakov ,,274 Keap St,Brooklyn,11211,274 Keap St,Brooklyn,,331400226352,800000090362,14799,YESHIVA KEHILATH YAKOV
Bnos Yakov of Boro Park ,,638 Bedford Ave,Brooklyn,11218,1402 40th St,Brooklyn,,332000229010,800000044250,20711,BNOS YAKOV OF BORO PARK
Bnos Yakov School of Williamsburg ,,62 Harrison Ave,Brooklyn,11211,62-68 Harrison Ave,Brooklyn,,331400226899,800000045241,14780,BNOS YAKOV SCHOOL FOR GIRLS
Bnos Yerushalayim Belz ,,600 Mcdonald Ave,Brooklyn,11218,600 Mcdonald Ave,Brooklyn,,332000228527,800000044288,20798,BNOS JERUSALEM D'CHASIDEI BELZ
Bnos Yisroel of Flatbush ,,1629 E 15th St,Brooklyn,11229,1629 East 15th Street,Brooklyn,11229,332100227245,800000044047,21770,B'NOS ISRAEL OF EAST FLATBUSH
Bnos Zion of Bobov ,,5000 14th Ave,Brooklyn,11219,5000 14th Ave,Brooklyn,,332000227819,800000044298,20844,BNOS ZION OF BOBOV
Bnos Zion of Bobov Monsey ,,13 Crest Ct,Monsey,10952,13 Crest Ct,Monsey,10952,500402226233,800000088045,,
Bnot Chaya Academy ,,1932 Coney Island Ave,Brooklyn,11230,1012 Ave I,Brooklyn,,332100225735,800000063651,21808,Bnot Chaya Academy
Bnot Rachel High School ,,1950 E 7th St,Brooklyn,11223,1950 E 7th St,Brooklyn,,332100229830,800000043996,,
Bnot Yaakov of Great Neck ,,150 Hicks Ln,Great Neck,11024,5 Old Mill Rd-2nd Fl,Great Neck,,280407226328,800000090001,,BNOT YAAKOV
Bobover Yeshiva Bnei Zion - 15th Ave / Gan Day Care Center ,,4206 15th Ave,Brooklyn,11219,4206-10 15th Ave,Brooklyn,,332000226900,800000034150,20715,Bobover Yeshiva Bnei Zion (15th Ave) Gan Day Care Center
Bobover Yeshiva Bnei Zion - 38th St ,,1149 38th St,Brooklyn,11218,1149 38th St,Brooklyn,,331500226470,800000091327,15013,BOBOVER YESHIVA BNEI ZION IIII
Bobover Yeshiva Bnei Zion - 47 ,,1360 36th St,Brooklyn,11218,1360 36th St,Brooklyn,,331500226409,800000082523,15117,BOBOVER YESHIVA BNEI ZION
Bobover Yeshiva of Monsey ,,88 Grove Street,Monsey,10952,230 Viola Rd,Monsey,10952-3609,500402225550,800000059910,,BOBOVER YESHIVA OF MONSEY
Bonim Lamokom ,,425 E 9th St,Brooklyn,11218,425 E 9th St,Brooklyn,,332200229867,800000043795,22566,BONIM LAMOKOM
Brandeis Hebrew Academy ,,25 Frost Ln,Lawrence,11559,25 Frost Lane,Lawrence,11559,280215217122,800000049487,,BRANDEIS SCHOOL (THE)
Central UTA of Monsey - Boys ,,P.O. Box 355,Monsey,10952,13-15 Monsey Blvd,Monsey,10952,500402226201,800000084363,,
Central UTA of Monsey - Girls ,,236 Cherry Ln,Airmont,10952,236 Cherry Ln,Airmont,10952,500401226135,800000077703,,
Central UTA of Monsey ,,236 Cherry Ln-bldg 2,Monsey,10952,236 Cherry Ln-bldg 2,Monsey,10952,500401226758,800000093555,,
Chabad Academy of the Arts and Sciences ,,212-12 26th Ave,Queens,11360,212-12 26th Ave,Queens,,342600225967,800000064953,26674,CHABAD ACADEMY OF THE ARTS & SCIENCES
Chabad Girls Academy ,,823 Eastern Pkwy,Brooklyn,11213,823 Eastern Parkway,Brooklyn,11213,331700226465,800000091329,17031,CHABAD GIRLS ACADEMY
Chabad Girls Academy High - Lubavitch Sparks HS ,,580 Crown Street Apt 606,Brooklyn,11225,506 E New York Ave,Brooklyn,11213,331700226749,800000093521,,
Cheder at the Ohel ,,322 N Corona Ave,Valley Stream,11580,322 N Corona Ave,Valley Stream,11580,280213225541,800000059895,,
Cheder Bardichev ,,186 Saddle River Rd,Airmont,10952,186 Saddle River Rd,Airmont,10952,500402226639,800000092679,,
Cheder Be'er Yeshaya ,,4 Campbell Ave,Suffern,10901,4 Campbell Ave,Suffern,,500401226312,800000089703,,CHEDER BE'ER YESHAYA
Cheder Chabad of Monsey - Preschool & Girls ,,P.O. Box 1164,Brooklyn,10952,25 S Monsey Rd,Airmont,,500402226341,800000055863,,CHEDER CHABAD OF MONSEY
Cheder Chabad of Monsey ,,P.O. Box 1164,Monsey,10952,228 New Hempstead Rd,New City,,500402226661,800000093020,,Cheder Chabad of Monsey
Chedvas Hatorah ,,6 Perth Ave,Spring Valley,10977,4 N Main St,Spring Valley,10977,500402226650,800000092748,,
Clap By Encore - 400 Caswell Ave ,,400 Caswell Ave,Staten Island,10314,400 Caswell Ave,Staten Island,10314,353100226808,800000093824,,
Clap By Encore - 4310 10th Ave ,,4310 10th Ave,Brooklyn,11219,4310 10th Ave,Brooklyn,11219,331500226807,800000093823,,
Clap By Encore - 4500 9th Ave ,,4500 9th Ave,Brooklyn,11219,4500 9th Ave,Brooklyn,11219,331500226809,800000093825,,
Clap By Encore - 5004 14th Ave ,,5004 14th Ave,Brooklyn,11219,5004 14th Ave,Brooklyn,11219,332000226810,800000093826,,
Clap By Encore - 5301 14th Ave ,,5301 14th Ave,Brooklyn,11219,5301 14th Ave,Brooklyn,11219,332000226811,800000093827,,
Congregration Talmud Torah Imrei Bin ,,P.O. Box 934,Monsey,10952,244 Viola Rd,Monsey,10952,500402226294,800000089596,,
Darkei Avos Sanz of BP ,,1177 48th St,Brooklyn,11219,1177 48th St,Brooklyn,,332000226250,800000088463,20009,CONGREGATION DARKEI AVOS SANZ OF BP
Darkei Avos Sanz of BP ,,1167 48th St,Brooklyn,11219,1167 48th St,Brooklyn,11219,332000226796,800000093779,,
Darkei Chaim ,,1270 52nd St,Brooklyn,11219,1017 45th St,Brooklyn,,331500226008,800000066496,15014,DARKEI CHAIM
Darkei Chaim ,,1318 43rd St,Brooklyn,11219,1318 43rd St,Brooklyn,,332000226763,800000093561,15014,DARKEI CHAIM
DARKEI TSHIVO OF DINOV ,,77 Wallabout St,Brooklyn,11249,77 Wallabout St,Brooklyn,,331400226020,800000067131,,
Davis Renov Stahler Yeshiva High School for Boys ,DRS,700 Ibsen St,Woodmere,11598,700 Ibsen St,Woodmere,,280215229602,800000055900,,DAVIS RENOV STAHLER YESHIVA HS -BOYS
Derech Hatorah of Rochester ,,71 Maiden Ln,Rochester,14616,71 Maiden Lane,Rochester,14616,260501225023,800000058234,,DERECH HATORAH OF ROCHESTER
Divrei Chaim ,,61 Carlton Rd,Monsey,10952,61 Carlton Rd,Monsey,10952,500402226307,800000089683,,
Educational Institute Oholei Torah - Elementary ,,667 Eastern Pkwy,Brooklyn,11213,667 Eastern Pky,Brooklyn,,331700227690,800000044766,17828,EDUC INST-OHOLEI TORAH
Educational Institute Oholei Torah - Mesivta ,,555 Remsem Ave,Brooklyn,11236,417 Troy Ave,Brooklyn,,331700226494,800000044787,18043,EDUC INST OHOLEI TORAH MESIVTA
Eisek Hatorah D'Rachmistrivka ,,8101 Ave K,Brooklyn,11236,8101 Ave K,Brooklyn,,331800226147,800000081857,,EISEK HATORAH D'RACHMISTRIVK
Elite Academy of Science & Technology ,EAST,2115 Benson Ave,Brooklyn,11214,2115 Benson Ave,Brooklyn,,332100225340,800000059260,20555,ELITE H.S.
Emet Classical Academy ,,127 E 82nd St,New York,10028,127 E 82nd St,New York,,310200226743,800000093485,,EMET CLASSICAL ACADEMY
Emunas Bais Yaakov High School ,,4403 15th Avenue Suite 535,Brooklyn,11219,1462 62nd St,Brooklyn,11219,332000226659,800000092862,20074,EMUNAS BAIS YAKOV
